POP_SIZE,MAX_GEN,CROSSOVER_RATE,BASE_MUT_RATE,STAGNANT_LIMIT,avg_fitness,std_fitness
10,10,0.8,0.35,40,42.294759060772066,0.12179968549986533
10,10,0.8,0.35,50,42.233706395089875,0.07770735704410464
10,10,0.8,0.4,5,42.18597692131604,0.12234064657604236
10,10,0.8,0.4,10,42.33519280317659,0.0191062222521434
10,10,0.8,0.4,20,42.25202219479453,0.15826659809314378
10,10,0.8,0.4,30,42.18486426254412,0.08236454902541832
10,10,0.8,0.4,40,42.15800108964395,0.029356112661105972
10,10,0.8,0.4,50,42.21539059538522,0.16985373890090275
10,10,0.8,0.45,5,42.10549579715727,0.05392025435569483
10,10,0.8,0.45,10,42.280106421008334,0.08545628655597613
10,10,0.8,0.45,20,42.236774322630254,0.10213712001139166
10,10,0.8,0.45,30,42.30236334676247,0.04589481634575386
10,10,0.8,0.45,40,42.31307486047672,0.01726830156535212
10,10,0.8,0.45,50,42.25202219479453,0.0518049046960731
10,10,0.8,0.5,5,42.1737663881796,0.0900060926655659
10,10,0.8,0.5,10,42.074969464316176,0.00863415078267941
10,10,0.8,0.5,20,42.17265372940768,0.07674201078486328
10,10,0.8,0.5,30,42.19784751698111,0.08744688914628806
10,10,0.8,0.5,40,42.11770633029371,0.03113087336703257
10,10,0.8,0.5,50,42.09084315739355,0.02555475265591966
10,20,0.4,0.01,5,42.146911132612615,0.006765224395110915
10,20,0.4,0.01,10,42.03116636274563,0.031224545853769808
10,20,0.4,0.01,20,42.19707479568055,0.09806510187729753
10,20,0.4,0.01,30,42.004303189845466,0.07930983340953489
10,20,0.4,0.01,40,41.85108421057262,0.114813808528594
10,20,0.4,0.01,50,42.03833786490686,0.03763539072498908
10,20,0.4,0.05,5,42.1893001437856,0.15442175368898944
10,20,0.4,0.05,10,42.05533213408933,0.12877866731254226
10,20,0.4,0.05,20,42.19818745445247,0.14252534636742376
10,20,0.4,0.05,30,42.231264288462576,0.1548765462596148
10,20,0.4,0.05,40,42.08829265622453,0.07758868612501635
10,20,0.4,0.05,50,42.10549579715727,0.13037281779677248
10,20,0.4,0.1,5,42.154337929703026,0.10503897772364315
10,20,0.4,0.1,10,42.1787589959759,0.08972872701485925
10,20,0.4,0.1,20,42.25812746136274,0.07067357004176181
10,20,0.4,0.1,30,42.22760112852165,0.08236454902541235
10,20,0.4,0.1,40,42.15433792970302,0.00863415078267606
10,20,0.4,0.1,50,42.215390595385216,0.1442187510932947
10,20,0.4,0.15,5,42.34360119331782,0.014954787835811324
10,20,0.4,0.15,10,42.190969529112344,0.06907320626142857
